Option A,Option B,Option C,Option D,Answer,Solution,Question
120,60,240,30,60,"Since “APPLE” has 5 letters, with the letter ‘P’ repeating twice, the number of distinct 5-letter words that can be formed is given by: 5 ! 2 ! = 120 2 = 60 Understand the difference between applying permutations and combinations.",Q. 1 How many unique 5-letter words can be created using the letters of the word “APPLE” such that no letter is repeated?
220,84,120,286,286,"This is a problem of distributing n identical items into r distinct groups, which is given by ( n + r – 1 r – 1 ) ( . ( 10 + 4 – 1 4 – 1 ) = ( 13 3 ) = 286 (","Q. 2 You have 10 identical balls and 4 unique boxes in front of you. How many ways can you distribute all the balls among the boxes? (Hint: Since the balls are identical, it’s the distribution that matters, not the arrangement)"
4000,4100,3100,3108,3108,"Case 1: 3 women, 3 men: (73)×(83)= ( 7 3 ) × ( 8 3 ) = 35 × 56 = 1960 (  Case 2: 4 women, 2 men: (74)×(82)= ( 7 4 ) × ( 8 2 ) = 35 × 28 = 980 (  Case 3: 5 women, 1 man: (75)×(81)= ( 7 5 ) × ( 8 1 ) = 21 × 8 = 168 ( 1960 + 980 + 168 = 3108 1960","Q. 3 From a group of 8 men and 7 women, a committee of 6 members is to be formed. The only condition is that the committee must have at least 3 women. How many ways can this committee be chosen while meeting the requirement?"
18000,15000,420,1680,420,"Treat all S’s as one unit. We then have: M, I, I, I, P, P, S block. The total number of arrangements is: 7 ! 3 ! × 2 ! = 5040 6 × 2 = 420",Q. 4 The word “MISSISSIPPI” has so many repeating letters! How many unique arrangements can you make if all the S’s must always stick together as a single block? (Hint: It’s like treating the S’s as one super letter—how does this change your possibilities?)
28,56,8,20,28,"If 2 particular people (the couple) are always included, we need to choose 2 more people from the remaining 8. This can be done in: ( 8 2 ) = 28 (","Q. 5 You need to form a committee of 4 members from a group of 10 employees. However, a stubborn couple among the employees insist on being included in every committee. With this condition in place, how many ways can you choose the remaining members to complete the group?"
43200,60480,75600,50400,60480,"Treat the vowels (A, A, E, E) as a single unit, giving us 8 units. Then, 8 ! 2 ! × 2 ! × 4 ! 2 ! × 2 ! = 10080 × 6 = 60480","Q. 6 Using the letters of the word “ARRANGEMENT,” how many distinct arrangements can you make if all the vowels must always appear together as a single unit?"
756,630,850,1050,1050,Consider cases for the number of women: Total: 525 + 420 + 105 = 1050 525,"Q. 7 An international committee of 5 people is to be formed from an elected group of 7 men and 6 women. However, the requirement is that at least 2 women must be included in the group to represent the diversity. How many different ways can this be achieved while adhering to the condition?"
210,1120,120,56,1120,This is a problem of distributing identical items among distinct groups with a total number of ways: ( 5 + 4 − 1 4 − 1 ) × ( 3 + 4 − 1 4 − 1 ) = ( 8 3 ) × ( 6 3 ) = 56 × 20 = 1120 (,"Q. 8 Imagine you have 5 identical apples and 3 identical oranges, and you want to distribute them among 4 children. How many different ways can this distribution be carried out? (Hint: It’s the distribution that counts, not who gets which specific fruit.)"
24,48,60,120,48,"We have 7 total ducks, including one adult male, one adult female, and one ugly duckling. We need to determine the number of ways the ducks can line up with the adult ducks at each end and the ugly duckling in the center. In the first spot, we have 2 choices (since it can be 1 of the 2 adult ducks). In the second spot, we have 4 choices (since it can be any 1 of the 4 non-ugly ducklings). In the third spot, we have 3 choices (since it can be any 1 of the 3 remaining non-ugly ducklings). In the fourth spot, i.e., the center spot, we have only 1 choice (since it must be the ugly duckling). In the fifth spot, we have 2 choices (since it can be any 1 of the 2 remaining non-ugly ducklings). In the six spot, we have 1 choice (since it must be the last remaining non-ugly duckling). In the seventh spot, i.e., the last position, we have 1 choice (since it must be the other adult duck). Thus, the number of ways the ducks can lineup with an adult duck at each end and the ugly duckling in the middle is 2 x 4 x 3 x 1 x 2 x 1 x 1 = 48.","Q. 10 Seven ducks , an adult male , an adult female , and 5 ducklings ( one of whom is particularly unattractive ) , are walking in a straight line from the barn to the pond . The line is led by and ended with an adult duck and the ugly duckling must be in the exact center of the line . How many different ways can this line be formed ?"
453600,378000,1000000,16800,453600,"The word “INDEPENDENCE” has 12 letters: I, N (3 times), D (2 times), E (4 times), and C. So, 12 ! 3 ! × 2 ! × 4 ! × 1 ! = 479001600 6 × 2 × 24 × 1 = 453600","Q. 11 The word “INDEPENDENCE” is packed with repeating letters! If you were to arrange all its letters, how many unique ways could you come up with?"
