Option A,Option B,Option C,Option D,Answer,Solution,Question
1.7,3.3,8.3,13.3,8.3,1 km = 1000m and 1 h = 3600 s. So multiply the given speed by (1000/3600) to convert it into m/s,Q. 1 Convert given speed into m/s: Speed = 30 km/h
2.5 hours,3 hours,3.5 hours,4 hours,3 hours,Relative speed = 60 + 40 = 100 km/h. Time taken = Distance / Relative speed = 300 100 = 3 hours.,"Q. 2 Two high-speed trains begin their journey from towns A and B, 300 km apart, rushing towards each other on parallel tracks. Train A races at a speed of 60 km/h, while Train B runs at 40 km/h. How much time will it take for the two trains to meet, assuming they started simultaneously?"
1 hour,1.5 hours,2 hours,2.5 hours,1 hour,Distance = Speed × Time = 5 × 4 = 20 km. Time at new speed (7 km/h) = 20 7 ≈ 2.86 hours. Time saved = 4 – 2.86 = 1.14 hours (approximately 1 hour and 8 minutes).,"Q. 3 A man enjoys a walk of 5 km/h and usually covers a certain distance in 4 hours. One day, inspired by a challenge, he decides to quicken his pace to 7 km/h. How much time does he save by walking faster?"
30 km/h,36 km/h,40 km/h,54 km/h,36 km/h,Speed = Distance / Time = 150 15 = 10 m/s. Converting to km/h: 10 × 3.6 = 36 10 km/h.,"Q. 4 A train, 150 meters in length, passes a pole in 15 seconds. What is the speed of the train in km/h?"
20 km/h,21 km/h,22 km/h,24 km/h,24 km/h,Distance = Speed × Time = 18 × 40 60 = 12 km. New speed = Distance / New time = 12 30 60 = 12 0.5 = 24 km/h.,"Q. 5 A cyclist covers a certain distance in 40 minutes at 18 km/h. Later, he decides to increase his pace, hoping to complete the same journey in just 30 minutes. What should be his required speed?"
2 km/h,3 km/h,4 km/h,5 km/h,2 km/h,"Downstream speed = 24 2 = 12 km/h, Upstream speed = 24 3 = 8 km/h. Speed of the stream = Downstream speed – Upstream speed 2 = 12 – 8 2 = 2 km/h.","Q. 6 Picture a boat navigating a serene river. It takes 2 hours to travel 24 km downstream, aided by the current, but requires 3 hours to cover the same distance upstream against the flow. Can you determine the speed of the river’s current?"
150 meters,200 meters,240 meters,300 meters,240 meters,Train speed = 54 km/h = 15 m/s. Length of train = 15 × 18 = 270 meters. Total distance to cross platform = 15 × 36 = 540 meters. Length of platform = 540 – 270 = 270 meters.,"Q. 7 If a train running at 54 km/h crosses a platform in 36 seconds and a pole in 18 seconds, what is the length of the platform?"
3 km/h,4 km/h,5 km/h,6 km/h,5 km/h,"Downstream speed = 12 2 = 6 km/h, Upstream speed = 12 3 = 4 km/h. Speed in still water = Downstream speed + Upstream speed 2 = 6 + 4 2 = 5 km/h.","Q. 8 A rower paddles downstream for 12 km, completing the journey in 2 hours. On the way back, against the current, the same distance takes 3 hours. Determine the speed of the rower’s boat in still water?"
100 m,120 m,150,180 m,150,Convert speed to m/s: 10 × 1000 3600 = 25 9 m/s. Distance = Speed × Time = 25 9 × 54 = 150 meters.,Q. 9 A man running at 10 km/h crosses a bridge of length 120 meters in 54 seconds. What is the length of the bridge?
4 seconds,6 seconds,8 seconds,10 seconds,4 seconds,Relative speed = 72 – 54 = 18 km/h = 18 × 5 18 = 5 m/s. Total distance = 5 + 15 = 20 meters. Time taken = 20 5 = 4 seconds.,"Q. 10 A car moving at 72 km/h overtakes a truck traveling at 54 km/h. If the car is 5 meters long and the truck is 15 meters long, how much time does the car take to pass the truck?"
47.2,42.2,37.2,52.2,47.2,15 km = 1000m and 1 h = 3600 s. So multiply the given speed by (1000/3600) to convert it into m/s,Q. 11 Convert given speed into m/s: Speed = 170 km/h
351,366,361,451,351,"Use the direct formula, Distance = Speed * Time",Q. 12 A ship traveled through space at 39 km/h for 9 hours. How many kilometers did it cover?
